INT	STRING	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT
等级	说明(程序不读)	经验奖励系数	金钱奖励系数	其他奖励1	其他奖励2	其他奖励3
1	防御小游戏	1	1			
2	防御小游戏	2	2			
3	防御小游戏	3	3			
4	防御小游戏	4	4			
5	防御小游戏	5	5			
6	防御小游戏	6	6			
7	防御小游戏	7	7			
8	防御小游戏	8	8			
9	防御小游戏	9	9			
10	防御小游戏	10	10			
11	防御小游戏	11	11			
12	防御小游戏	12	12			
13	防御小游戏	13	13			
14	防御小游戏	14	14			
15	防御小游戏	15	15			
16	防御小游戏	16	16			
17	防御小游戏	17	17			
18	防御小游戏	18	18			
19	防御小游戏	19	19			
20	防御小游戏	20	20			
21	防御小游戏	21	21			
22	防御小游戏	22	22			
23	防御小游戏	23	23			
24	防御小游戏	24	24			
25	防御小游戏	25	25			
26	防御小游戏	26	26			
27	防御小游戏	27	27			
28	防御小游戏	28	28			
29	防御小游戏	29	29			
30	防御小游戏	30	30			
31	防御小游戏	31	31			
32	防御小游戏	32	32			
33	防御小游戏	33	33			
34	防御小游戏	34	34			
35	防御小游戏	35	35			
36	防御小游戏	36	36			
37	防御小游戏	37	37			
38	防御小游戏	38	38			
39	防御小游戏	39	39			
40	防御小游戏	40	40			
