INT	INT	INT	INT	INT	INT	INT	INT	FLOAT
序号	所在分页	组合产生建筑ID	卖出金币价格	所需道具1id	所需道具2id	所需道具3id	所需道具4id	缩放
1	1	4	0	26	17	15	58	0.5
2	1	64	0	32	24	74	84	0.25
3	1	99	0	28	23	18	20	0.5
4	1	127	0	36	42	39	43	0.5
5	1	151	0	66	67	65	72	0.5
6	1	119	0	81	58	55	18	0.5
7	2	85	999	76	84	62	64	1
8	2	86	1616	10	11	12	47	1
9	2	87	2615	27	22	9	17	1
10	2	88	4232	60	78	84	62	1
11	2	89	6847	68	69	75	53	1
12	2	90	11078	71	73	52	57	1
13	2	91	17924	63	65	78	77	1
14	2	92	29001	48	13	12	9	1
15	2	93	46924	29	38	35	6	1
16	2	94	75923	55	58	18	31	1
