INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	FLOAT	INT
序号	所在建筑的ID	所在表类型(1、物品表 2、建筑表)	合成道具的id	所需金钱数量	所需道具1id	所需道具1数量	所需道具2id	所需道具2数量	所需道具3id	所需道具3数量	所需道具4id	所需道具4数量	组合花费时间	缩放	快速完成花费RMB
1	112	2	122	50	3	20							0	0.5	1
2	112	2	13	140	3	30	83	5					0	1	1
3	112	2	56	300	3	40							0	1	1
4	112	2	121	600	3	50	26	1					0	1	1
5	112	2	140	700	83	5	44	2					0	0.5	1
6	112	2	141	1000	125	5	99	5	103	5			0	0.5	1
7	151	1	31	500	113	5	132	8					300	1	5
8	151	1	9	500	38	5	50	5					300	1	5
9	151	1	72	500	133	10							600	1	5
10	151	1	6	500	18	1	112	1					600	1	5
11	151	1	75	500	84	1	107	1					1800	1	5
12	151	1	20	500	68	1	38	1					1800	1	5
13	151	1	47	500	39	8							3600	1	5
14	151	1	57	500	64	8							3600	1	5
15	151	1	46	500	17	1	83	5					300	1	5
16	151	1	131	500	138	1							300	1	5
17	151	1	102	500	37	1							600	1	5
18	151	1	62	500	42	1	133	1					600	1	5
19	151	1	65	500	63	1	80	1					600	1	5
20	4	2	11	2000	42	2	36	1						0.7	10
21	4	2	119	2400	136	10	135	10	17	10				0.3	10
22	4	2	127	3000	130	10	98	10	127	10				0.3	10
23	4	2	153	5500	119	10	10	10	106	10				0.3	10
24	4	2	48	4800	32	10	76	10	131	5				0.2	10
25	4	2	11	2000	42	2	36	1						0.2	10
