INT	STRING	INT	INT	STRING	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	FLOAT	INT	STRING	STRING	STRING
ID	建筑名字id	建筑等级需求	建筑类型	建筑模型	建筑说明id	建筑图标文件名	占地格子1	占地格子2	卖出价格	建筑时间（s）	建筑所需人数	快速建筑所需RMB	建筑完成获得经验	建筑完成产生农民人数	建筑完成增加探险人数	产生收益时间（s）	每个周期产生经验	每个周期产生金币	每个周期产生木材	收益图标	快速收益所需RMB	是否可升级	提升等级后建筑ID	建筑升级所需金钱	建筑升级所需材料1ID	所需材料1数量	建筑升级所需材料2ID	所需材料2数量	建筑升级所需材料3ID	所需材料3数量	增益影响范围	增益百分比	预留1	建筑后开拓区域	腐烂时间	腐烂恢复所需金钱	必掉落物品ID	必掉落物品数量	树石砍伐次数	缩放	是否可清扫	掉落物品	掉落物品数量	掉落物品概率
1	普通民房@:37	1	2	.//building//minju001.actor	311	.//building//cj_minju001.png	3	3	0	100	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1
2	恬静小屋@:38	2	2	.//building//minju002.actor	311	.//building//cj_minju002.png	3	3	0	100	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	1	1
3	露天磨坊@:39	1	1	.//building//mofang001.actor	312	.//building//cj_mofang001.png	2	2	0	300	1	1	0	0	0	300	0	1000	0	main_pop.png	1	1	4	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	31	1	1
4	木材加工厂@:40	1	1	.//building//famuchang001.actor	319	.//building//cj_famuchang001.png	4	4	0	300	1	1	0	0	0	3600	0	1000	0	main_pop.png	1	1	5	0	1	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	4	1	1
5	龙头磨坊（废弃）@:41	3	1	.//building//famuchang001.actor	312	.//building//cj_famuchang001.png	2	2	0	100	1	1	0	0	0	0	0	1000	0	main_pop.png	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	1	1
6	瞭望塔@:50	1	1	.//building//liaowangta001.actor	1	.//building//cj_liaowangta001.png	2	2	0	300	1	1	0	0	0	14400	0	1000	0	main_pop.png	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.75	1	74	1	1
7	简易船坞码头@:43	100	7	.//building//matou001.actor	1	.//building//cj_matou001.png	4	4	0	100	1	1	0	0	0	0	0	0	0	main_pop.png	1	0	0	0	0	0	0	0	0	0	0	0	0	0	710	1	0	0	0	0.75	0	7	1	1
8	冒险家协会@:44	10	6	.//building//maoxian01.actor	317	.//building//cj_maoxian01.png	6	6	0	100	1	1	0	0	0	0	0	0	0	main_pop.png	1	0	0	0	0	0	0	0	0	0	0	0	0	0	14400	2	0	0	0	0.3	0	8	1	1
9	迷你假山@:45	7	3	.//building//chitang001.actor	1	.//building//cj_chitang001.png	2	2	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	1.25	0	0	0	0	0	0	0	1	0	9	1	1
