	INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	汉语	外语1	外语2	外语3	外语4	外语5	外语6	外语7	外语8	外语9	外语10	外语11	外语12	
1														
2	我们的磨坊	修建磨坊*外语												
3	欢迎小兔们	修建民居*外语												
4	第一座假山	修建假山*外语												
5	勤劳的孩子	修建农田*外语												
6	萝卜萝卜	种萝卜*外语												
7	修建冒险工会	修建冒险工会*外语												
8	兔子们也想和豆浆不是么？	兔子们也想和豆浆不是么？*外语												
9	兔子窝是必须的!	兔子窝是必须的!*外语												
10	装点我们的新家吧	装点我们的新家吧*外语												
11	这里一片荒芜，开垦一块农田才是上策	这里一片荒芜，开垦一块农田才是上策*外语												
12	收获食物，才能让兔宝宝们更茁壮的成长哦。	我要吃萝卜嘛~~就要嘛就要嘛~~*外语												
13	动物小王国欢迎各种小动物前来报到。让我们修建冒险工会，迎接各地的小动物吧。	太好了，猫小侠们要来保护我们了，还不动身迎接！*外语												
14	修建一个酒馆	修建一个酒馆*外语												
15	生产五个黄瓜	生产五个黄瓜*外语												
16	生产五个南瓜	生产五个南瓜*外语												
17	生产五个萝卜	生产五个萝卜*外语												
18	生产十朵花	生产十朵花*外语												
19	需要10根黄瓜	需要10根黄瓜*外语												
20	需要1999金币	需要1999金币*外语												
21	需要5个西瓜、10个南瓜	需要5个西瓜、10个南瓜*外语												
22	积攒8999金钱	积攒8999金钱*外语												
23	猫大侠来了，好酒好菜款待着！	猫大侠来了，好酒好菜款待着！*外语												
24	猫大侠钦点名菜：拍黄瓜！小二上菜喽！	猫大侠钦点名菜：拍黄瓜！小二上菜喽！*外语												
25	听说神奇的西方用南瓜做成的车去参加酒宴，我们不能错过！	听说神奇的西方用南瓜做成的车去参加酒宴，我们不能错过！*外语												
26	邻居兔子小咪饿了，送五根胡萝卜去吧。	邻居兔子小咪饿了，送五根胡萝卜去吧。*外语												
27	用黄瓜可以合成花朵哦亲。	用黄瓜可以合成花朵哦亲。*外语												
28	我哭！我在哭！豪猪强迫我给他找胡萝卜，怎么办呀。	我哭！我在哭！豪猪强迫我给他找胡萝卜，怎么办呀。*外语												
29	钱，钱！卑鄙的仓鼠抢了我1999金币，我还想用他们买小米呢。 	钱，钱！卑鄙的仓鼠抢了我1999金币，我还想用他们买小米呢。 *外语												
30	大厨创新料理：西瓜炖南瓜。趁水还没烧开，赶紧做出来吧。	大厨创新料理：西瓜炖南瓜。趁水还没烧开，赶紧做出来吧。*外语												
31	积攒8999，排队买个4S，不想再从黄牛那里买的。	积攒8999，排队买个4S，不想再从黄牛那里买的。*外语												
32	我是勤劳的砍柴工	我是勤劳的砍柴工*外语												
33	生产食物吧	生产食物吧*外语												
34	美味小黄瓜	美味小黄瓜*外语												
35	砍树伐木我最行，50木材难不倒。不管现在有多少，再来50根木材吧！	砍树伐木我最行，50木材难不倒。不管现在有多少，再来50根木材吧！*外语												
36	兔子饿了要吃饭，没有粮食怎么办？种呀！	兔子饿了要吃饭，没有粮食怎么办？种呀！*外语												
37	普通民房	普通民房*外语												
38	恬静小屋	恬静小屋*外语												
39	露天磨坊	Gristmill												
40	木材加工厂	Wood Factory												
41	龙头磨坊	龙头磨坊*外语												
42	水流	水流												
43	简易船坞码头	简易船坞码头*外语												
44	冒险家协会	Discover Guild												
45	迷你假山	迷你假山*外语												
46	箭靶	箭靶												
47	皇榜	皇榜												
48	乡间水井	Well												
49	石狮子	石狮子*外语												
50	瞭望塔	瞭望塔												
51	宫廷路灯	宫廷路灯*外语												
52	路灯	路灯*外语												
53	灯	灯*外语												
54	萝卜	Carrot												
55	黄瓜	Cucamber												
56	稻子	Paddy												
57	田地	Field												
58	大松树（废弃）	大松树（废弃）*英语												
59	文房四宝	文房四宝												
60	紫色郁金香	purple tulip												
61	蓝色郁金香	blue tulip												
62	黄色郁金香	yellow tulip												
63	土地	land												
64	土地6（不显示）	土地6（不显示）*英语												
65	菊花丛	daisy												
66	土地8（不显示）	土地8（不显示）*英语												
67	地砖	地砖*英语												
68	琉璃金殿	Golden Palace												
69	兵营	兵营												
70	牌楼	牌楼*英语												
71	兔子喷泉	兔子喷泉*英语												
72	饺子馆	饺子馆												
73	玉兔佛	玉兔佛*英语												
74	熊猫娃娃	熊猫娃娃*英语												
75	飞艇	Airship												
76	怡然民舍	怡然民舍*英语												
77	杨府别院	杨府别院												
78	抱竹小筑	抱竹小筑												
79	乡土围屋	乡土围屋												
80	民居1	民居1*英语												
81	民居2	民居2*英语												
82	乡土围屋	乡土围屋												
83	乡土围屋	乡土围屋												
84	巨塔2	巨塔2*英语												
85	地动仪	地动仪*英语												
86	动力水车	动力水车												
87	小摊	小摊*英语												
88	西瓜	Watermelon												
89	南瓜	Pumpkin												
90	卷心菜	Cabbage												
91	小木桥	小木桥*英语												
92	简洁栅栏	简洁栅栏*英语												
93	木板栅栏	木板栅栏*英语												
94	高大的牌楼	高大的牌楼*英语												
95	小火盆	小火盆*英语												
96	大火盆	大火盆*英语												
97	舞狮	lion dance												
