INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT
等级	所需经验	能量上限	奖励金钱	奖励能量	奖励经验	奖励RMB数值	奖励物品id	奖励物品数量	NPC头像	升级后对话内容id
1 	1 	6 	0 	1 	0 	1 	0 	0 	.//Rabit//NPC_sheep_001.png	1 
2 	5 	7 	0 	2 	0 	1 	0 	0 	.//Rabit//NPC_sheep_001.png	1 
3 	32 	8 	1 	3 	0 	1 	0 	0 	.//Rabit//NPC_sheep_001.png	1 
4 	52 	9 	3 	4 	0 	1 	0 	0 	.//Rabit//NPC_sheep_001.png	1 
5 	74 	10 	5 	5 	0 	1 	0 	0 	.//Rabit//NPC_sheep_001.png	1 
6 	98 	11 	7 	5 	0 	1 	0 	0 	.//Rabit//NPC_sheep_001.png	1 
7 	124 	12 	9 	5 	0 	1 	0 	0 	.//Rabit//NPC_sheep_001.png	1 
8 	152 	13 	11 	5 	0 	1 	0 	0 	.//Rabit//NPC_sheep_001.png	1 
9 	181 	14 	13 	5 	0 	1 	0 	0 	.//Rabit//NPC_sheep_001.png	1 
10 	211 	15 	15 	5 	0 	1 	0 	0 	.//Rabit//NPC_sheep_001.png	1 
11 	242 	16 	17 	5 	0 	1 	0 	0 	.//Rabit//NPC_sheep_001.png	1 
12 	275 	17 	19 	5 	0 	0 	0 	0 	.//Rabit//NPC_sheep_001.png	1 
13 	309 	18 	21 	5 	0 	0 	0 	0 	.//Rabit//NPC_sheep_001.png	1 
14 	343 	19 	23 	5 	0 	0 	0 	0 	.//Rabit//NPC_sheep_001.png	1 
15 	378 	20 	25 	5 	0 	0 	0 	0 	.//Rabit//NPC_sheep_001.png	1 
16 	414 	21 	27 	5 	0 	0 	0 	0 	.//Rabit//NPC_sheep_001.png	1 
17 	451 	22 	29 	5 	0 	0 	0 	0 	.//Rabit//NPC_sheep_001.png	1 
18 	489 	23 	31 	5 	0 	0 	0 	0 	.//Rabit//NPC_sheep_001.png	1 
19 	527 	24 	33 	5 	0 	0 	0 	0 	.//Rabit//NPC_sheep_001.png	1 
20 	565 	25 	35 	5 	0 	0 	0 	0 	.//Rabit//NPC_sheep_001.png	1 
21 	605 	26 	37 	5 	0 	0 	0 	0 	.//Rabit//NPC_sheep_001.png	1 
22 	644 	27 	39 	5 	0 	0 	0 	0 	.//Rabit//NPC_sheep_001.png	1 
23 	684 	28 	41 	5 	0 	0 	0 	0 	.//Rabit//NPC_sheep_001.png	1 
24 	741 	29 	43 	5 	0 	0 	0 	0 	.//Rabit//NPC_sheep_001.png	1 
25 	800 	30 	45 	5 	0 	0 	0 	0 	.//Rabit//NPC_sheep_001.png	1 
26 	833 	30 	47 	5 	0 	0 	0 	0 	.//Rabit//NPC_sheep_001.png	1 
27 	867 	30 	49 	5 	0 	0 	0 	0 	.//Rabit//NPC_sheep_001.png	1 
28 	900 	30 	51 	5 	0 	0 	0 	0 	.//Rabit//NPC_sheep_001.png	1 
29 	933 	30 	53 	5 	0 	0 	0 	0 	.//Rabit//NPC_sheep_001.png	1 
30 	967 	30 	55 	5 	0 	0 	0 	0 	.//Rabit//NPC_sheep_001.png	1 
31 	1000 	30 	57 	5 	0 	0 	0 	0 	.//Rabit//NPC_sheep_001.png	1 
32 	1033 	30 	59 	5 	0 	0 	0 	0 	.//Rabit//NPC_sheep_001.png	1 
33 	1067 	30 	61 	5 	0 	0 	0 	0 	.//Rabit//NPC_sheep_001.png	1 
34 	1100 	30 	63 	5 	0 	0 	0 	0 	.//Rabit//NPC_sheep_001.png	1 
35 	1133 	30 	65 	5 	0 	0 	0 	0 	.//Rabit//NPC_sheep_001.png	1 
36 	1167 	30 	67 	5 	0 	0 	0 	0 	.//Rabit//NPC_sheep_001.png	1 
37 	1200 	30 	69 	5 	0 	0 	0 	0 	.//Rabit//NPC_sheep_001.png	1 
38 	1233 	30 	71 	5 	0 	0 	0 	0 	.//Rabit//NPC_sheep_001.png	1 
39 	1267 	30 	73 	5 	0 	0 	0 	0 	.//Rabit//NPC_sheep_001.png	1 
40 	1300 	30 	75 	5 	0 	0 	0 	0 	.//Rabit//NPC_sheep_001.png	1 
41 	-1 	30 	75 	5 	0 	0 	0 	0 	.//Rabit//NPC_sheep_001.png	1 
