INT	INT	INT	INT
地块数量	解锁等级	游戏币价格	rmb道具解锁价格
1	1	1000	50
2	2	1500	55
3	3	2000	60
4	4	2500	65
5	6	3000	70
6	7	3500	75
7	8	4000	80
8	9	4500	85
9	10	5000	90
10	11	5500	95
11	12	6000	100
12	13	6500	105
13	14	7000	110
14	15	7500	115
15	16	8000	120
16	17	8500	125
17	18	9000	130
18	19	9500	135
19	20	10000	140
20	21	10500	145
21	22	11000	150
22	23	11500	155
23	24	12000	160
24	25	12500	165
25	26	13000	170
26	27	13500	175
27	28	14000	180
28	29	14500	185
29	30	15000	190
30	31	15500	195
31	32	16000	200
32	33	16500	205
33	34	17000	210
34	35	17500	215
35	36	18000	220
36	37	18500	225
37	38	19000	230
38	39	19500	235
39	40	20000	240
40	41	20500	245
41	42	21000	250
42	43	21500	255
43	44	22000	260
44	45	22500	265
45	46	23000	270
46	47	23500	275
47	48	24000	280
48	49	24500	285
49	50	25000	290
50	51	25500	295
