INT	INT	STRING	INT	INT	INT	INT	INT	INT	STRING	STRING	STRING				
ID	奖励类型	该奖励说明	奖励经验值	奖励爱心值	金币数量	木材数量	石材数量	粮食数量	开出物品	掉落数量	掉落物品概率				
201	2	发邮件奖励爱心值	0	1	0	0	0	0	0	0	0				
202	2	帮助好友贸易奖励爱心值	0	2	0	0	0	0	0	0	0				
401	4	好友浇水奖励	0	2	25	50	50	50	319|320|321|322|323|324|325|326|327|	1|1|1|1|1|1|1|1|1|	10|10|10|10|10|10|10|10|10|				
402	4	好友浇水奖励	0	2	37	75	75	75	319|320|321|322|323|324|325|326|327|	1|1|1|1|1|1|1|1|1|	10|10|10|10|10|10|10|10|10|				
403	4	好友浇水奖励	0	2	50	100	100	100	319|320|321|322|323|324|325|326|327|	1|1|1|1|1|1|1|1|1|	10|10|10|10|10|10|10|10|10|				
404	4	好友浇水奖励	0	2	62	125	125	125	319|320|321|322|323|324|325|326|327|	1|1|1|1|1|1|1|1|1|	10|10|10|10|10|10|10|10|10|				
405	4	好友浇水奖励	0	2	75	150	150	150	319|320|321|322|323|324|325|326|327|	1|1|1|1|1|1|1|1|1|	10|10|10|10|10|10|10|10|10|				
406	4	好友浇水奖励	0	2	87	175	175	175	319|320|321|322|323|324|325|326|327|	1|1|1|1|1|1|1|1|1|	10|10|10|10|10|10|10|10|10|				
407	4	好友浇水奖励	0	2	100	200	200	200	319|320|321|322|323|324|325|326|327|	1|1|1|1|1|1|1|1|1|	10|10|10|10|10|10|10|10|10|				
408	4	好友浇水奖励	0	2	112	225	225	225	319|320|321|322|323|324|325|326|327|	1|1|1|1|1|1|1|1|1|	10|10|10|10|10|10|10|10|10|				
501	5	自己收益奖励	0	0	200	100	100	100	319|320|321|322|323|324|325|326|327|	1|1|1|1|1|1|1|1|1|	10|10|10|10|10|10|10|10|10|				
502	5	自己收益奖励	0	0	300	150	150	150	319|320|321|322|323|324|325|326|327|	1|1|1|1|1|1|1|1|1|	10|10|10|10|10|10|10|10|10|				
503	5	自己收益奖励	0	0	400	200	200	200	319|320|321|322|323|324|325|326|327|	1|1|1|1|1|1|1|1|1|	10|10|10|10|10|10|10|10|10|				
