INT	STRING	INT	INT	INT	INT	INT	INT
NPC出现ID	名字	类型	出现概率	产出道具ID	开放等级	每次操作消耗的体力	操作类型
1	浇水1-9	1	30	701	5	1	1
2	除虫1-9	1	30	702	5	1	2
3	清扫1-9	2	30	703	5	1	1
4	修缮1-9	2	30	704	5	1	2
5	浇水10-19	1	30	705	15	1	1
6	除虫10-19	1	30	706	15	1	2
7	清扫10-19	2	30	707	15	1	1
8	修缮10-19	2	30	708	15	1	2
9	浇水20-29	1	30	709	25	1	1
10	除虫20-29	1	30	710	25	1	2
11	清扫20-29	2	30	711	25	1	1
12	修缮20-29	2	30	712	25	1	2
13	浇水30-39	1	30	713	35	1	1
14	除虫30-39	1	30	714	35	1	2
15	清扫30-39	2	30	715	35	1	1
16	修缮30-39	2	30	716	35	1	2
17	浇水40-49	1	30	717	45	1	1
18	除虫40-49	1	30	718	45	1	2
19	清扫40-49	2	30	719	45	1	1
20	修缮40-49	2	30	720	45	1	2
21	浇水50-59	1	30	721	55	1	1
22	除虫50-59	1	30	722	55	1	2
23	清扫50-59	2	30	723	55	1	1
24	修缮50-59	2	30	724	55	1	2
