INT	STRING	STRING	STRING	INT
物品ID	物品图片	物品名称	物品对应xml	卖出价格
1	shopUI/money.png	金钱	item/gift_money.actor	1
2	shopUI/experience.png	经验	item/gift_exp.actor	1
3	item/wood.png	木材	item/gift_item001.actor	1
4	item/liangshi.png	食物	item/gift_liangshi.actor	1
5	item/energy.png	能量	item/gift_energy.actor	1
6	item/baozi.png	狗不理包子	item/gift_baozi.actor	1
7	item/changti.png	梯子	item/gift_changti.actor	1
8	item/chouduan.png	绸缎	item/gift_chouduan.actor	1
9	item/chunjuan.png	豆沙春卷	item/gift_chunjuan.actor	1
10	item/dalumian.png	风味打卤面	item/gift_dalumian.actor	1
11	item/daozi.png	稻子	item/gift_daozi.actor	1
12	item/dizi.png	笛子	item/gift_dizi.actor	1
13	item/lianpu.png	京剧脸谱	item/gift_lianpu.actor	1
14	item/energy.png	能量	item/gift_energy.actor	1
15	item/fangliang.png	房梁	item/gift_fangliang.actor	1
16	item/xigua.png	西瓜	item/gift_xigua.actor	1
17	item/fuzi.png	大斧子	item/gift_futou.actor	1
18	item/ganmianzhang.png	妈妈的擀面杖	item/gift_ganmianzhang.actor	1
19	item/gold.png	金矿	item/gift_gold.actor	1
20	item/guihuagao.png	桂花糕	item/gift_guihuagao.actor	1
21	item/huaduo.png	鲜花	item/gift_huaduo.actor	1
22	item/huanggua.png	黄瓜	item/gift_huanggua.actor	1
23	item/huoguo.png	铜火锅	item/gift_huoguo.actor	1
24	item/huozhong.png	文明火种	item/gift_huozhong.actor	1
25	item/jiaozi.png	蒸饺	item/gift_jiaozi.actor	1
26	item/ju.png	锯	item/gift_ju.actor	1
27	item/juanxincai.png	卷心菜	item/gift_juanxincai.actor	1
28	item/kuaizi.png	筷子	item/gift_kuaizi.actor	1
29	item/kushuzhi.png	枯树枝	item/gift_kushuzhi.actor	1
30	item/liangshi.png	粮食	item/gift_liangshi.actor	1
31	item/doufu.png	嫩豆腐	item/gift_doufu.actor	1
32	item/liuliwa.png	琉璃瓦	item/gift_liuliwa.actor	1
33	item/lotmoney.png	大量金钱	item/gift_lotmoney.actor	1
34	item/luobo.png	萝卜	item/gift_luobo.actor	1
35	item/lvshuye.png	树枝	item/gift_lvshuye.actor	1
36	item/maobi.png	毛笔	item/gift_maobi.actor	1
37	item/masheng.png	麻绳	item/gift_masheng.actor	1
38	item/mianfen.png	面粉	item/gift_mianfen.actor	1
39	item/muban.png	木板	item/gift_muban.actor	1
40	item/mutong.png	木桶	item/gift_mutong.actor	1
41	item/nangua.png	南瓜	item/gift_nangua.actor	1
42	item/paper.png	宣纸	item/gift_paper.actor	1
43	item/pingfeng.png	屏风	item/gift_pingfeng.actor	1
44	item/qingzhuan.png	青砖	item/gift_qingzhuan.actor	1
45	item/shaozi.png	勺子	item/gift_shaozi.actor	1
46	item/shiban.png	石板	item/gift_shiban.actor	1
47	item/shuzi.png	梳子	item/gift_shuzi.actor	1
48	item/tongding.png	铜鼎	item/gift_tongding.actor	1
49	item/tongkuang.png	铜矿	item/gift_tongkuang.actor	1
50	item/wan.png	碗	item/gift_wan.actor	1
51	item/wood.png	木材	item/gift_wood.actor	1
52	item/fengmi.png	蜂蜜	item/gift_fengmi.actor	1
53	item/yaoshi.png	钥匙	item/gift_yaoshi.actor	1
54	item/yezi.png	叶子	item/gift_yezi.actor	1
55	item/yifu.png	李小龙的衣服	item/gift_yifu.actor	1
56	item/yinkuang.png	银矿	item/gift_yinkuang.actor	1
57	item/zhajiangmian.png	炸酱面	item/gift_zhajiangmian.actor	1
58	item/hongzhuan.png	红砖	item/gift_hongzhuan.actor	1
59	item/lizhi.png	荔枝	item/gift_lizhi.actor	1
60	item/qipao.png	旗袍	item/gift_qipao.actor	1
61	item/qinghuacipingzi.png	青花瓷	item/gift_qinghuaciping.actor	1
62	item/zheshan.png	折扇	item/gift_zheshan.actor	1
63	item/zuanshi.png	钻石	item/gift_zuanshi.actor	1
64	item/biandan.png	卖货郎扁担	item/biandan.actor	1
65	item/biyanhu.png	贵族鼻烟壶	item/biyanhu.actor	1
66	item/chabei.png	紫砂茶杯	item/chabei.actor	1
67	item/chahu.png	紫砂茶壶	item/chahu.actor	1
68	item/hongdong.png	相思红豆	item/hongdong.actor	1
69	item/jinchai.png	金钗	item/jinchai.actor	1
70	item/jiuzhan.png	酒盏	item/jiuzhan.actor	1
71	item/mahua.png	香酥麻花	item/mahua.actor	1
72	item/piying.png	乡土皮影	item/piying.actor	1
73	item/tanghulu.png	大糖葫芦	item/tanghulu.actor	1
74	item/yupei.png	半块碧玉	item/yupei.actor	1
75	item/zhongguojie.png	中国结	item/zhongguojie.actor	1
76	item/fozhu.png	念珠	item/fozhu.actor	1
77	item/zhutai.png	喜气烛台	item/zhutai.actor	1
78	item/yumao.png	凤凰羽毛	item/yumao.actor	1
79	item/tiekuai.png	铁块	item/tiekuai.actor	1
80	item/banzhi.png	扳指	item/banzhi.actor	1
81	item/xiaodao.png	小刀	item/daoren.actor	1
82	item/mudan.png	牡丹花	item/mudan.actor	1
83	item/shitou.png	石头	item/shitou.actor	1
84	item/sidai.png	丝带	item/sidai.actor	1
85	item/xunzhang001.png	笑看人生	item/xunzhang001.actor	1
86	item/xunzhang002.png	找到颜如玉	item/xunzhang002.actor	1
87	item/xunzhang003.png	素食主义者	item/xunzhang003.actor	1
88	item/xunzhang004.png	一代名伶	item/xunzhang004.actor	1
89	item/xunzhang005.png	艺术大师	item/xunzhang005.actor	1
90	item/xunzhang006.png	不怕胖	item/xunzhang006.actor	1
91	item/xunzhang007.png	高富帅	item/xunzhang007.actor	1
92	item/xunzhang008.png	为什么老是你	item/xunzhang008.actor	1
93	item/xunzhang009.png	神医在世	item/xunzhang009.actor	1
94	item/xunzhang010.png	PK高手	item/xunzhang010.actor	1
95	building/cj_baoxiang001.png	宝箱	item/gift_baoxiang.actor	1
