INT	INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	FLOAT	INT	INT	INT	INT	INT	FLOAT	INT	INT	INT	INT	INT	INT	FLOAT	INT	INT	INT	INT	INT	FLOAT	INT	INT	INT	INT	INT	INT	INT	INT
MissionID	发布NPC	NPC头像id	任务文件	任务类型	完成类型	任务名字	接受任务对话	完成任务对话	任务所需建筑ID1	任务所需建筑1数量	任务描述ID	图标缩放大小	快速完成所需RMB	是否可以goto	任务所需建筑ID2	任务所需建筑2数量	任务描述ID	图标缩放大小	快速完成所需RMB	是否可以goto	任务所需物品ID1	任务所需物品数量1	任务描述ID	快速完成所需RMB	图标缩放大小	是否可以goto	任务所需物品ID2	任务所需物品数量2	任务描述ID	快速完成所需RMB	图标缩放大小	是否可以goto	任务奖励物品ID1	任务奖励物品数量1	任务奖励物品ID2	任务奖励物品数量2	任务奖励物品ID3	任务奖励物品数量3	时间限制
1	1	51		1	2	573	601	629	21	1	657	0.5	1	0																			1	10	2	6			
2	1	51	.//script//mission002.lua	1	2	574	602	630	18	1	658	0.5	1	0																			1	20	2	7			
3	1	51	.//script//mission003.lua	1	2	575	603	631	62	1	659	0.5	1	0																			1	20	2	7			
4	1	51	.//script//mission004.lua	1	2	576	604	632													3	10	660	1									1	50	5	5			
5	1	51	.//script//mission005.lua	1	2	577	605	633	1	1	661	0.5	1	0																			1	100	2	6			
6	1	51		1	2	578	606	634													31	1	662	1									1	150	2	6			
7	1	51		1	2	579	607	635	116	1	663		1	0																			1	200	2	6	3	10	
8	1	51	.//script//mission008.lua	1	2	580	608	636	66	1	664	0.25	1	0																			1	250	2	8	3	10	
9	1	51	.//script//mission009.lua	1	2	581	609	637	135	1	665	0.25	1	0																			1	300	2	7	3	10	
10	1	51	.//script//mission0010.lua	1	2	582	610	638	-1	1	666		1	0																			1	300	2	5			
11	1	51	.//script//mission0011.lua	1	2	583	611	639	134	1	667		1	1	92	1	685	0.25	1	1													1	300	2	3			
12	1	51	.//script//mission0012.lua	1	2	584	612	640	120	1	668	0.35	1	1							1	2	686	1									1	300	19	7			
13	1	51	.//script//mission0013.lua	1	2	585	613	641	130	1	669	0.5	1	1																			1	300	2	15			
14	2	52	.//script//mission0014.lua	1	2	586	614	642	2	1	670	0.5	1	1																			1	300	2	20			
15	2	52	.//script//mission0015.lua	1	2	587	615	643	116	1	671	0.35	1	1							1	2	687	1									1	300	2	2			
16	2	52	.//script//mission0016.lua	1	2	588	616	644	29	5	672		1	1	83	2	688		2	1	1	2	687	2									1	300	2	2			
17	2	52	.//script//mission0017.lua	1	2	589	617	645													3	50	673	5									1	300	2	2			
18	2	52	.//script//mission0018.lua	1	2	590	618	646	112	1	674	0.5	1	1																			1	300	2	2			
19	2	52	.//script//mission0019.lua	1	2	591	619	647	66	1	675	0.35	1	1									689	1									1	300	2	2			
20	3	53	.//script//mission0020.lua	1	2	592	620	648	125	1	676		1	1	133	2	690		2	1													1	300	2	2			
21	3	53	.//script//mission0021.lua	1	2	593	621	649	129	1	677	0.75	1	1																			1	300	2	2			
22	3	53	.//script//mission0022.lua	1	2	594	622	650			678		1	1																			1	300	2	2			
23	3	53	.//script//mission0023.lua	1	2	595	623	651			679		1	1																			1	300	2	2			
24	4	54	.//script//mission0024.lua	1	2	596	624	652	21	1	680	0.5	1	1	20	1	691	0.5	1	1													1	300	2	2			
25	4	54	.//script//mission0025.lua	1	2	597	625	653	105	1	681		1	1																			1	300	2	2			
26	4	54	.//script//mission0026.lua	1	1	598	626	654													52	5	682	3									1	300	2	2			86400
27	4	54	.//script//mission0027.lua	1	2	599	627	655	31	5	683		1	1																			1	300	2	2			
28	3	53	.//script//mission0028.lua	1	2	600	628	656	16	2	684		1	1																			1	300	2	2			
