INT	INT	INT	STRING	INT	INT	INT	INT
id	NPC出现ID	NPC出现概率	点击输出文本	产出道具ID	开放等级	每次操作消耗的体力	touxiang
1	76	2	 你找到了我，给你这个吧。	601	5	2	1
2	76	2	 你找到了我，给你这个吧。	602	5	2	1
3	76	2	 你找到了我，给你这个吧。	603	5	2	1
4	76	2	 你找到了我，给你这个吧。	604	5	2	1
5	76	2	 你找到了我，给你这个吧。	605	5	2	1
6	76	2	 你找到了我，给你这个吧。	606	15	2	1
7	76	2	 你找到了我，给你这个吧。	607	15	2	1
8	76	2	 你找到了我，给你这个吧。	608	15	2	1
9	76	2	 你找到了我，给你这个吧。	609	15	2	1
10	76	2	 你找到了我，给你这个吧。	610	15	2	1
11	76	2	 你找到了我，给你这个吧。	611	25	2	1
12	76	2	 你找到了我，给你这个吧。	612	25	2	1
13	76	2	 你找到了我，给你这个吧。	613	25	2	1
14	76	2	 你找到了我，给你这个吧。	614	25	2	1
15	76	2	 你找到了我，给你这个吧。	615	25	2	1
16	76	2	 你找到了我，给你这个吧。	616	35	2	1
17	76	2	 你找到了我，给你这个吧。	617	35	2	1
18	76	2	 你找到了我，给你这个吧。	618	35	2	1
19	76	2	 你找到了我，给你这个吧。	619	35	2	1
20	76	2	 你找到了我，给你这个吧。	620	35	2	1
21	76	2	 你找到了我，给你这个吧。	621	45	2	1
22	76	2	 你找到了我，给你这个吧。	622	45	2	1
23	76	2	 你找到了我，给你这个吧。	623	45	2	1
24	76	2	 你找到了我，给你这个吧。	624	45	2	1
25	76	2	 你找到了我，给你这个吧。	625	45	2	1
26	76	2	 你找到了我，给你这个吧。	626	55	2	1
27	76	2	 你找到了我，给你这个吧。	627	55	2	1
28	76	2	 你找到了我，给你这个吧。	628	55	2	1
29	76	2	 你找到了我，给你这个吧。	629	55	2	1
30	76	2	 你找到了我，给你这个吧。	630	55	2	1
