INT	INT	STRING	INT	INT	INT
礼物ID	礼物出现概率	点击输出文本	产出道具ID	开放等级	每次操作消耗的体力
1	30	 钱0-9	801	5	1
2	20	 灯笼0-9	802	5	1
3	10	 木材0-9	803	5	1
4	10	 石头0-9	804	5	1
5	10	粮食0-9	805	5	1
6	10	 人口0-9	806	5	1
7	10	 规模上限0-9	807	5	1
8	30	 钱10-19	808	15	1
9	20	 灯笼10-19	809	15	1
10	10	 木材10-19	810	15	1
11	10	 石头10-19	811	15	1
12	10	粮食10-19	812	15	1
13	10	 人口10-19	813	15	1
14	10	 规模上限10-19	814	15	1
15	30	 钱20-29	815	25	1
16	20	 灯笼20-29	816	25	1
17	10	 木材20-29	817	25	1
18	10	 石头20-29	818	25	1
19	10	粮食20-29	819	25	1
20	10	 人口20-29	820	25	1
21	10	 规模上限20-29	821	25	1
22	30	 钱30-39	822	35	1
23	20	 灯笼30-39	823	35	1
24	10	 木材30-39	824	35	1
25	10	 石头30-39	825	35	1
26	10	粮食30-39	826	35	1
27	10	 人口30-39	827	35	1
28	10	 规模上限30-39	828	35	1
29	30	 钱40-49	829	45	1
30	20	 灯笼40-49	830	45	1
31	10	 木材40-49	831	45	1
32	10	 石头40-49	832	45	1
33	10	粮食40-49	833	45	1
34	10	 人口40-49	834	45	1
35	10	 规模上限40-49	835	45	1
36	30	 钱50-59	836	55	1
37	20	 灯笼50-59	837	55	1
38	10	 木材50-59	838	55	1
39	10	 石头50-59	839	55	1
40	10	粮食50-59	840	55	1
41	10	 人口50-59	841	55	1
42	10	 规模上限50-59	842	55	1
