INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
序列	商店类型	表类型	道具id	道具数目	货币类型	价格	材料1	材料1需要数量	材料2	材料2需要数量	材料3	材料3需要数量	材料4	材料4需要数量	上架日期(20120716)	下架日期(20120716)	上架标示	是否热卖
1	1	1	2001	1	1	2	0	0	0	0	0	0	0	0				1
2	1	1	3001	1	1	2	0	0	0	0	0	0	0	0				1
3	1	1	4001	1	1	2	0	0	0	0	0	0	0	0				1
4	1	1	5001	1	1	2	0	0	0	0	0	0	0	0				1
5	1	1	6001	1	1	4	0	0	0	0	0	0	0	0				1
6	1	1	7001	1	1	4	0	0	0	0	0	0	0	0				1
7	1	1	10001	1	1	6	0	0	0	0	0	0	0	0				1
8	1	1	11001	1	1	6	0	0	0	0	0	0	0	0				1
9	1	1	12001	1	1	8	0	0	0	0	0	0	0	0				1
10	1	1	13001	1	1	8	0	0	0	0	0	0	0	0				1
11	2	1	31	1	1	13	0	0	0	0	0	0	0	0				
12	2	1	148	1	1	12	0	0	0	0	0	0	0	0				
13	2	1	83	1	1	7	0	0	0	0	0	0	0	0				
14	2	1	114	1	1	18	0	0	0	0	0	0	0	0				
15	2	1	177	1	1	30	0	0	0	0	0	0	0	0				
16	2	1	187	1	1	60	0	0	0	0	0	0	0	0				
17	2	1	3	1	1	30	0	0	0	0	0	0	0	0				
18	2	1	10	1	1	45	0	0	0	0	0	0	0	0				
19	2	1	12	1	1	50	0	0	0	0	0	0	0	0				
20	2	1	13	1	1	55	0	0	0	0	0	0	0	0				
21	2	1	16	1	1	60	0	0	0	0	0	0	0	0				
22	2	1	17	1	1	80	0	0	0	0	0	0	0	0				
23	2	1	23	1	1	85	0	0	0	0	0	0	0	0				
24	2	1	38	1	1	90	0	0	0	0	0	0	0	0				
25	2	1	55	1	1	95	0	0	0	0	0	0	0	0				
26	2	1	56	1	1	100	0	0	0	0	0	0	0	0				
27	2	1	58	1	1	105	0	0	0	0	0	0	0	0				
28	2	1	59	1	1	110	0	0	0	0	0	0	0	0				
29	2	1	64	1	1	115	0	0	0	0	0	0	0	0				
30	2	1	85	1	1	120	0	0	0	0	0	0	0	0				
31	2	1	87	1	1	125	0	0	0	0	0	0	0	0				
32	2	1	92	1	1	130	0	0	0	0	0	0	0	0				
33	2	1	105	1	1	135	0	0	0	0	0	0	0	0				
34	2	1	111	1	1	140	0	0	0	0	0	0	0	0				
35	2	1	112	1	1	145	0	0	0	0	0	0	0	0				
36	2	1	115	1	1	150	0	0	0	0	0	0	0	0				
37	2	1	116	1	1	155	0	0	0	0	0	0	0	0				
38	2	1	120	1	1	160	0	0	0	0	0	0	0	0				
39	2	1	122	1	1	165	0	0	0	0	0	0	0	0				
40	2	1	121	1	1	170	0	0	0	0	0	0	0	0				
41	2	1	123	1	1	175	0	0	0	0	0	0	0	0				
42	2	1	132	1	1	180	0	0	0	0	0	0	0	0				
43	2	1	137	1	1	185	0	0	0	0	0	0	0	0				
44	2	1	139	1	1	190	0	0	0	0	0	0	0	0				
45	2	1	140	1	1	195	0	0	0	0	0	0	0	0				
46	2	1	141	1	1	200	0	0	0	0	0	0	0	0				
47	2	1	147	1	1	205	0	0	0	0	0	0	0	0				
48	2	1	158	1	1	210	0	0	0	0	0	0	0	0				
49	2	1	160	1	1	215	0	0	0	0	0	0	0	0				
50	2	1	161	1	1	220	0	0	0	0	0	0	0	0				
51	2	1	162	1	1	225	0	0	0	0	0	0	0	0				
52	2	1	165	1	1	230	0	0	0	0	0	0	0	0				
53	2	1	166	1	1	235	0	0	0	0	0	0	0	0				
