INT	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	STRING
场景ID	场景名称	场景地图	对应岛屿	出现boss的ID	出现boss数量	出现小怪1ID	出现小怪1数量	出现小怪2ID	出现小怪2数量	出现小怪3ID	出现小怪3数量	出现小怪4ID	出现小怪4数量	出现小怪5ID	出现小怪5数量	关卡对应actor名字	前置关卡ID	后置关卡ID
1	熊岛关卡1@:240	scene/scence01_tollgate01.scene	1	0	0	12	4	0	0	0	0	0	0	0	0	choose001_1.png	0	2
2	熊岛关卡2@:241	scene/scence01_tollgate01.scene	1	9	2	0	0	0	0	0	0	0	0	0	0	choose001_2.png	0	3&1
3	熊岛关卡3@:242	scene/scence01_tollgate01.scene	1	9	2	12	4	0	0	0	0	0	0	0	0	choose001_3.png	0	2&4&11&19
4	熊岛关卡4@:243	scene/scence01_tollgate01.scene	1	3	1	0	0	0	0	0	0	0	0	0	0	choose001_4.png	0	5
5	熊岛关卡5@:244	scene/scence01_tollgate01.scene	1	3	1	12	4	20	2	0	0	0	0	0	0	choose001_5.png	0	6
6	熊岛关卡6@:245	scene/scence01_tollgate01.scene	1	3	1	12	2	19	2	0	0	0	0	0	0	choose001_6.png	0	7
7	熊岛关卡7@:246	scene/scence01_tollgate01.scene	1	3	1	12	2	18	2	0	0	0	0	0	0	choose001_7.png	0	8
8	熊岛关卡8@:247	scene/scence01_tollgate01.scene	1	3	1	12	2	17	2	0	0	0	0	0	0	choose001_8.png	0	33
9	兔岛关卡1@:248	scene/scence01_tollgate01.scene	2	0	0	12	4	0	0	0	0	0	0	0	0	choose002_1.png	0	10
10	兔岛关卡2@:249	scene/scence01_tollgate01.scene	2	9	2	0	0	0	0	0	0	0	0	0	0	choose002_2.png	0	11&9
11	兔岛关卡3@:250	scene/scence01_tollgate01.scene	2	9	2	12	4	0	0	0	0	0	0	0	0	choose002_3.png	0	12&3&27&10
12	兔岛关卡4@:251	scene/scence01_tollgate01.scene	2	3	1	0	0	0	0	0	0	0	0	0	0	choose002_4.png	0	13
13	兔岛关卡5@:252	scene/scence01_tollgate01.scene	2	3	1	12	4	20	2	0	0	0	0	0	0	choose002_5.png	0	14
14	兔岛关卡6@:253	scene/scence01_tollgate01.scene	2	3	1	12	2	19	2	0	0	0	0	0	0	choose002_6.png	0	15
15	兔岛关卡7@:254	scene/scence01_tollgate01.scene	2	3	1	12	2	18	2	0	0	0	0	0	0	choose002_7.png	0	16
16	兔岛关卡8@:255	scene/scence01_tollgate01.scene	2	3	1	12	2	17	2	0	0	0	0	0	0	choose002_8.png	0	34
17	火山关卡1@:256	scene/scence01_tollgate01.scene	3	0	0	12	4	0	0	0	0	0	0	0	0	choose003_1.png	0	18
18	火山关卡2@:257	scene/scence01_tollgate01.scene	3	9	2	0	0	0	0	0	0	0	0	0	0	choose003_2.png	0	17&19
19	火山关卡3@:258	scene/scence01_tollgate01.scene	3	9	2	12	4	0	0	0	0	0	0	0	0	choose003_3.png	0	18&20&3&27
20	火山关卡4@:259	scene/scence01_tollgate01.scene	3	3	1	0	0	0	0	0	0	0	0	0	0	choose003_4.png	0	21
21	火山关卡5@:260	scene/scence01_tollgate01.scene	3	3	1	12	4	20	2	0	0	0	0	0	0	choose003_5.png	0	22
22	火山关卡6@:261	scene/scence01_tollgate01.scene	3	3	1	12	2	19	2	0	0	0	0	0	0	choose003_6.png	0	23
23	火山关卡7@:262	scene/scence01_tollgate01.scene	3	3	1	12	2	18	2	0	0	0	0	0	0	choose003_7.png	0	24
24	火山关卡8@:263	scene/scence01_tollgate01.scene	3	3	1	12	2	17	2	0	0	0	0	0	0	choose003_8.png	0	35
25	竹林关卡1@:264	scene/scence01_tollgate01.scene	4	0	0	12	4	0	0	0	0	0	0	0	0	choose004_1.png	0	26
26	竹林关卡2@:265	scene/scence01_tollgate01.scene	4	9	2	0	0	0	0	0	0	0	0	0	0	choose004_2.png	0	25&27
27	竹林关卡3@:266	scene/scence01_tollgate01.scene	4	9	2	12	4	0	0	0	0	0	0	0	0	choose004_3.png	0	26&28&19&11
28	竹林关卡4@:267	scene/scence01_tollgate01.scene	4	3	1	0	0	0	0	0	0	0	0	0	0	choose004_4.png	0	29
29	竹林关卡5@:268	scene/scence01_tollgate01.scene	4	3	1	12	4	20	2	0	0	0	0	0	0	choose004_5.png	0	30
30	竹林关卡6@:269	scene/scence01_tollgate01.scene	4	3	1	12	2	19	2	0	0	0	0	0	0	choose004_6.png	0	31
31	竹林关卡7@:270	scene/scence01_tollgate01.scene	4	3	1	12	2	18	2	0	0	0	0	0	0	choose004_7.png	0	32
32	竹林关卡8@:271	scene/scence01_tollgate01.scene	4	3	1	12	2	17	2	0	0	0	0	0	0	choose004_8.png	0	36
33	玫园关卡1@:272	scene/scence01_tollgate01.scene	5	3	3	0	0	0	0	0	0	0	0	0	0	choose005_1.png	0	34&35
34	玫园关卡2@:273	scene/scence01_tollgate01.scene	5	3	3	0	0	0	0	0	0	0	0	0	0	choose005_2.png	0	33&36
35	玫园关卡3@:274	scene/scence01_tollgate01.scene	5	3	3	0	0	0	0	0	0	0	0	0	0	choose005_3.png	0	33&36
36	玫园关卡4@:275	scene/scence01_tollgate01.scene	5	3	3	0	0	0	0	0	0	0	0	0	0	choose005_4.png	0	34&35
37	玫园关卡5@:276	scene/scence01_tollgate01.scene	5	3	3	0	0	0	0	0	0	0	0	0	0	choose005_5.png	33&34&35&36	0
